Length,Time
1242,35.14133405685425
1242,35.145413875579834
1242,35.149287939071655
1242,35.15310096740723
1242,35.15687704086304
1242,35.16369295120239
1242,35.16698694229126
798,35.17018699645996
655,35.25447201728821
1294,35.264090061187744
1242,35.33082389831543
1242,35.34647798538208
1242,35.349740982055664
1242,35.35307812690735
1242,35.35613799095154
1242,35.362231969833374
1242,35.36520600318909
802,35.368186950683594
431,35.38255786895752
655,35.39118313789368
1294,35.40035700798035
550,35.46152186393738
1242,35.47851586341858
1242,35.49207806587219
1242,35.495306968688965
1242,35.498229026794434
1242,35.50115609169006
1242,35.507386207580566
1242,35.510252952575684
799,35.51329803466797
478,35.52799320220947
655,35.53725600242615
1294,35.546396017074585
690,35.595985889434814
1242,35.615602016448975
1242,35.624732971191406
1242,35.627578020095825
1242,35.63039207458496
1242,35.63315200805664
1242,35.63893508911133
1242,35.641703844070435
795,35.644458055496216
470,35.658358097076416
655,35.666648149490356
1294,35.676032066345215
938,35.72586393356323
1242,35.746180057525635
1242,35.7613251209259
1242,35.76465606689453
1242,35.767740964889526
1242,35.77079200744629
1242,35.77659893035889
1242,35.779358863830566
807,35.78211188316345
429,35.79603981971741
1239,35.801628828048706
1149,35.80441403388977
655,35.807193994522095
1294,35.81560492515564
1238,35.92014002799988
676,48.50093603134155
1145,48.515612840652466
583,57.52440595626831
469,57.582491874694824
680,57.66017007827759
510,57.67032289505005
1142,57.68336296081543
405,18.15534996986389
676,18.50021505355835
393,24.52645707130432
583,48.87908411026001
752,48.909624099731445
1363,48.91298794746399
594,48.91624093055725
973,48.99316883087158
370,11.745362997055054
571,13.64844799041748
446,13.659932851791382
633,13.71463394165039
1361,13.850656032562256
571,13.937108993530273
446,13.99158000946045
542,14.053572177886963
1375,16.515471935272217
939,16.599591970443726
726,18.114022970199585
950,18.117637157440186
950,18.13240909576416
516,18.151707887649536
634,18.512153148651123
1376,18.52863597869873
583,18.62886905670166
393,24.53295111656189
1079,50.59860610961914
1167,50.635418176651
583,5.397030830383301
646,5.414543151855469
369,5.451914072036743
369,5.455243110656738
905,5.659667015075684
415,18.18757200241089
673,18.501040935516357
393,24.53838801383972
950,35.81734919548035
364,4.475354194641113
432,18.177541971206665
673,18.197064876556396
571,18.90648913383484
446,18.96915602684021
542,19.037337064743042
633,19.048736095428467
1372,19.13823103904724
571,19.224735975265503
446,19.279436111450195
393,24.572372913360596
666,38.9960880279541
1216,39.002277851104736
1242,14.258620977401733
1242,14.264068126678467
1242,14.26804780960083
1242,14.271946907043457
1242,14.275631189346313
1014,14.2826509475708
382,14.298906803131104
1239,14.305047035217285
655,14.31098484992981
1294,14.319759130477905
688,14.330940008163452
408,18.151309967041016
673,18.496949911117554
393,24.55245590209961
